Pf,Pc
4.516621082060395809e-02,4.601492670370347510e-02
1.171364496274779343e-02,1.353423198173955670e-02
6.787123876577021153e-02,7.417205641751518919e-02
2.310931037670016786e-01,2.278401997027871828e-01
1.805452390853388711e-01,1.684692210106876753e-01
7.636829795441985860e-04,1.311219920125819257e-03
2.930396618656375981e-05,7.443743074674586313e-07
1.136187069669065824e-01,1.022280788813880459e-01
9.512647237947279011e-03,1.061558647066920304e-02
4.676777339275644055e-03,3.718433656347574102e-03
4.225363538141382186e-02,4.086990417657598851e-02
3.448549843665783543e-01,3.395568518678732106e-01
2.856316742133234790e-02,2.672330022895546761e-02
2.383182492559867045e-04,6.632215418280773577e-05
1.761972296802333943e-02,1.282329946512024248e-02
3.969384818903051661e-04,2.502019292683583607e-04
7.142852577527140923e-02,6.383514516355008606e-02
2.686513518547955018e-02,2.280217461307168514e-02
9.880493176032638727e-03,7.350220148221953999e-03
6.980286262134278719e-01,6.744273749514138050e-01
5.458953780912927101e-02,5.585346092528127582e-02
6.741200331202846542e-03,5.071025460175419310e-03
7.120052493570098173e-01,7.156288981536543803e-01
2.627321858616210593e-01,2.798358322675803533e-01
3.539069650564861114e-01,3.521295997489353180e-01
3.520467954850581282e-01,3.456294001250118098e-01
2.888897497880349094e-02,2.765540192146346068e-02
9.041761972211030673e-02,9.621863493996808681e-02
3.599043016365059688e-02,3.329890880086176785e-02
2.581300567738519791e-01,2.601297116556003375e-01
8.875621890049981838e-03,9.327754414481633644e-03
4.167000231488022788e-01,4.149041025017432549e-01
3.211181360537045115e-02,3.295352703766765007e-02
1.341303176533568398e-01,1.369905670982778656e-01
6.255212704568023641e-02,5.465310041386487599e-02
2.600811839461377173e-01,2.673811067857452817e-01
2.098814698759230574e-02,2.822692121575615110e-02
9.113331882448477694e-03,9.609096473508877204e-03
5.203108170754824034e-03,5.831352684544628164e-03
1.096688228988536989e-02,8.553665467982607754e-03
7.514923860262450210e-04,1.380878652739310724e-04
8.857912886766622709e-03,8.603153918244928547e-03
1.023826135488643992e-03,1.029121450190888069e-03
2.141655202675118129e-03,1.020179713083120294e-03
2.652459787725907625e-01,2.580025115053076745e-01
5.182989067192250721e-02,4.668908753857962252e-02
4.867196607784145018e-04,3.150162900475166517e-04
1.447322137702768824e-02,1.031856119007262471e-02
1.876986203524118602e-01,2.046870251973549326e-01
1.172206267891732307e-03,3.288672614977123667e-04
4.729640829992880213e-02,5.026158881599437217e-02
7.513847693392873214e-03,5.959933569187917876e-03
1.238041292006338218e-03,6.377513735946439225e-04
2.238521315618696370e-02,1.843425512861704418e-02
1.023154665911726879e-02,7.831770144465384151e-03
1.030729795975468890e-02,1.382175136696535064e-02
1.137752101525328109e-02,1.630302140272381003e-02
2.060622465882596122e-01,2.093541693759621014e-01
3.231468630450630153e-01,3.164085490256262623e-01
5.408539383876790133e-03,4.781097734452779621e-03
6.669581842796100217e-03,8.374206666321675277e-03
3.865652447597133206e-04,3.176862724826211770e-05
4.030910807982656524e-02,3.846494747547815618e-02
2.608700899504868415e-02,2.377413833914254065e-02
1.710637858638702768e-01,1.716262690964072413e-01
2.061579584614171151e-02,1.597337629861933506e-02
2.741482155661519385e-02,2.769866555596812996e-02
8.869483348117873645e-02,1.051529490422089957e-01
1.973114951320511790e-01,1.942125908071384299e-01
1.231115473445164310e-01,1.263949100034897077e-01
6.234215557339300995e-03,5.069617776431026464e-03
1.038949315115545238e-02,1.267227421797967844e-02
4.265175426883876381e-02,4.225606081787097040e-02
4.639216145877575470e-02,5.432979889407611729e-02
6.680106643938289734e-02,7.012625945503110636e-02
4.439778678536806522e-01,4.374982139793352487e-01
2.034034095852070845e-01,2.115470642801360601e-01
5.165912160754471821e-02,5.572671248630038654e-02
8.147444753865863698e-02,8.394812676801731433e-02
8.355923458128940162e-02,7.942275382750764445e-02
