Pf,Pc
7.775132258961877903e-04,1.327386596848117431e-04
9.882715490824617310e-03,9.788640422851843312e-03
1.473386308917149466e-02,1.149231395160549112e-02
9.999070369614539155e-02,1.196252019450958770e-01
1.501418229658655901e-01,1.708016069313038343e-01
1.693772725951948332e-01,1.596232799864605867e-01
8.353800029142267880e-02,7.946559461890642662e-02
2.992814537434320028e-03,5.097942219703196012e-03
3.514026806268241796e-03,3.822581233344848894e-03
1.597442697470845829e-01,1.484443882477885224e-01
2.476182370103508661e-04,7.305124132079463765e-04
3.671058333226706605e-02,3.678754031889259341e-02
3.323832488470671725e-02,4.132237994534926351e-02
2.756472679054523464e-02,3.760978403452670121e-02
4.396343057695528134e-01,4.833665208541781944e-01
3.914898296447795745e-01,4.026541606517772265e-01
4.348155986591720201e-02,3.667283000843916951e-02
1.349109288147976038e-01,1.331785803573183047e-01
2.518013976512232556e-03,1.055733174842545495e-03
2.787200728480426423e-02,3.707647574150956665e-02
1.309990284686074827e-02,8.101300069190141978e-03
5.005314667929993506e-04,1.414824682344551811e-03
2.971061364711425831e-02,2.178109506769606435e-02
1.792424077991943213e-02,2.745672073583510855e-02
1.558051960647291283e-03,1.420640227822031780e-03
1.745767096204921265e-01,1.643051397171202410e-01
4.063192619916249602e-03,8.089734119789431313e-03
2.322626765576469021e-01,2.810614805105110525e-01
4.352233172280753348e-01,5.076756731924811916e-01
6.300226880536568923e-03,7.335563645606989550e-03
1.482842917238136153e-02,1.882472875503110946e-02
3.794251179292134485e-02,3.710792127722281619e-02
2.485055998145125067e-01,2.530478237846970901e-01
8.712934270594595298e-02,8.513590602527762452e-02
9.240105244060935197e-02,8.516461362736722773e-02
1.886938653474411753e-01,1.909240390654921848e-01
6.874213891136027321e-02,6.132924310758482850e-02
2.182608749459287109e-02,1.467682296001306640e-02
5.408324450756089030e-01,5.582427762753838785e-01
1.313376196452741007e-01,1.343400553163261735e-01
4.557960329188454618e-01,4.542660623891031091e-01
3.792722814910970408e-02,2.392929069269438686e-02
2.907057669589322140e-03,5.532265788942351305e-03
4.215403838809357422e-03,5.430098491978729847e-03
2.756037047827334385e-01,2.956054583404322811e-01
4.505780339761725900e-02,4.831585410446626733e-02
2.803906765012108022e-03,3.772977189080461199e-03
6.095121239705405917e-03,5.710446252299604918e-03
2.468703395325399230e-01,2.740663870399309143e-01
3.567280524751370528e-06,1.286738831418979831e-04
1.639020204414629311e-01,1.512839793034420899e-01
3.489225198026894847e-02,4.524833127333717508e-02
2.505749281670022308e-04,2.326697246605309057e-03
1.614928739768925004e-03,9.388186196658676185e-05
1.569149103948963521e-03,1.892136579534925032e-03
5.134494104914973100e-02,5.238748871077608671e-02
4.392567224280762017e-02,4.639317954036802777e-02
6.284679304352262796e-02,5.532911380676806129e-02
1.909021124029487357e-02,1.401501094451007394e-02
2.043320550445092143e-01,1.906172634348923534e-01
3.513566021908214876e-01,3.087565929985052193e-01
1.526688699936572802e-01,1.687654438325230377e-01
2.587100373212131502e-03,5.491426214224103507e-03
2.166614887013034174e-01,1.938018617517736630e-01
1.985140752615855153e-01,2.107070788878152579e-01
1.251878679958745057e-02,3.571077668791004540e-03
1.707659908316477501e-02,7.229974383637100509e-03
6.987368927281394082e-02,5.917077656536996744e-02
7.517854517914174250e-02,6.689471559686435698e-02
5.038425089759488926e-03,3.322918877574833774e-03
8.366802549009201605e-04,1.490586860083165186e-03
1.466211034609178621e-03,3.288964237240050211e-03
4.079478381039028378e-02,5.376816463297660886e-02
8.695816233373966642e-02,6.987442257410543534e-02
3.699388620765437508e-01,3.767886998044092106e-01
1.870828803451861019e-02,1.236293571457885987e-02
1.429808499080500485e-02,1.155100800426829034e-02
3.992938672337534300e-03,8.000476731857375338e-04
8.795177617192724171e-04,1.046654473216890096e-03
1.144411480930954556e-04,3.838497203965451421e-05
1.621472091278882699e-01,1.846685876001431803e-01
2.178054256173757308e-02,2.217201748781974166e-02
2.660363186732702528e-02,3.555563655330159362e-02
8.432491278506981658e-02,8.410708940912209330e-02
3.618611290606424391e-01,3.403844092433075952e-01
8.825707232357825616e-01,8.339785549226944594e-01
1.051333191161505504e-01,1.056917207942802833e-01
1.364766079261090469e-02,1.068034840726412096e-02
3.273199755734445410e-02,2.695811280905206428e-02
1.755742885987504089e-03,3.357148928618583408e-03
3.271196630770426689e-02,3.661858316476754999e-02
4.813749407521415898e-03,3.213592288293380846e-03
